Node,x,y,z,Stress (Pa)
402,0.01,0.285,-0.00625,789000000
403,0.01,0.2925,-0.0125,757000000
404,0,0.2775,-0.0125,1050000000
405,0,0.285,-0.0188,862000000
406,0,0.2925,-0.0125,757000000
407,0,0.285,-0.00625,789000000
408,0,0.2625,-0.0125,1220000000
409,0,0.27,-0.0188,1140000000
410,0,0.27,-0.00625,807000000
411,0,0.2475,-0.0125,1270000000
412,0,0.255,-0.0188,1210000000
413,0,0.255,-0.00625,842000000
414,0,0.2325,-0.0125,1280000000
415,0,0.24,-0.0188,1230000000
416,0,0.24,-0.00625,855000000
417,0,0.2175,-0.0125,1290000000
418,0,0.225,-0.0188,1240000000
419,0,0.225,-0.00625,859000000
420,0,0.2025,-0.0125,1290000000
421,0,0.21,-0.0188,1240000000
422,0,0.21,-0.00625,860000000
423,0,0.1875,-0.0125,1290000000
424,0,0.195,-0.0188,1240000000
425,0,0.195,-0.00625,860000000
426,0,0.1725,-0.0125,1290000000
427,0,0.18,-0.0188,1240000000
428,0,0.18,-0.00625,860000000
429,0,0.1575,-0.0125,1290000000
430,0,0.165,-0.0188,1240000000
431,0,0.165,-0.00625,860000000
432,0,0.1425,-0.0125,1290000000
433,0,0.15,-0.0188,1240000000
434,0,0.15,-0.00625,860000000
435,0,0.1275,-0.0125,1290000000
436,0,0.135,-0.0188,1240000000
437,0,0.135,-0.00625,860000000
438,0,0.1125,-0.0125,1290000000
439,0,0.12,-0.0188,1240000000
440,0,0.12,-0.00625,860000000
441,0,0.0975,-0.0125,1290000000
442,0,0.105,-0.0188,1240000000
443,0,0.105,-0.00625,860000000
444,0,0.0825,-0.0125,1290000000
445,0,0.09,-0.0188,1240000000
446,0,0.09,-0.00625,860000000
447,0,0.0675,-0.0125,1280000000
448,0,0.075,-0.0188,1240000000
449,0,0.075,-0.00625,859000000
450,0,0.0525,-0.0125,1270000000
451,0,0.06,-0.0188,1230000000
452,0,0.06,-0.00625,855000000
453,0,0.0375,-0.0125,1220000000
454,0,0.045,-0.0188,1210000000
455,0,0.045,-0.00625,842000000
456,0,0.0225,-0.0125,1050000000
457,0,0.03,-0.0188,1140000000
458,0,0.03,-0.00625,807000000
459,0,0.015,-0.0188,862000000
460,0,0.0075,-0.0125,757000000
461,0,0.015,-0.00625,789000000
462,0,0.2775,-0.025,953000000
463,0,0.285,-0.0313,862000000
464,0,0.2925,-0.025,545000000
465,0,0.2625,-0.025,1140000000
466,0,0.27,-0.0313,1140000000
467,0,0.2475,-0.025,1180000000
468,0,0.255,-0.0313,1210000000
469,0,0.2325,-0.025,1190000000
470,0,0.24,-0.0313,1230000000
471,0,0.2175,-0.025,1190000000
